Participant	Trial	Condition	Frame_ID	Word_pred	FFD_ms	GD_ms	TRT_ms
5	35	1	21	0	233.3	233.3	602.3
5	13	2	22	0.45	533.3	533.3	2147.9
5	20	3	23	0.15	316.7	316.7	316.7
5	16	3	24	0	150.6	150.6	600.4
5	36	1	25	0	133.3	133.3	366.5
5	24	2	26	0.05	299.9	299.9	967.1
5	5	3	27	0	250	250	783
5	10	4	28	0	616.3	616.3	815.4
5	23	1	29	0	166.6	166.6	699.6
5	3	2	30	0.5	249.6	249.6	1899.4
5	27	3	31	0	283.4	283.4	283.4
5	4	4	32	0.35	265.7	265.7	3881.2
5	9	1	33	0	215.9	215.9	798.2
5	2	2	34	0.2	216.5	216.5	599.9
5	40	3	35	0.1	234.8	234.8	2099.9
5	37	4	36	0.05	216.8	216.8	1665.6
5	32	1	37	0.05	299.8	299.8	299.8
5	29	2	38	0.1	0	0	0
5	14	3	39	0.35	699.6	1166.2	1166.2
5	8	4	40	0.1	198.8	198.8	1098.7
5	23	1	41	0.15	216.5	216.5	483.1
5	1	2	42	0	232.9	232.9	766.3
5	22	3	43	0.25	267.1	267.1	800.2
5	27	4	44	0	1149.3	1514.1	2581.2
5	31	1	45	0	333.1	333.1	483.1
5	12	2	46	0.3	283.1	283.1	2482.5
5	10	3	47	0	283.3	1730.1	2563.3
5	13	4	48	0.1	200.4	1732.6	2298.9
5	26	1	49	0.1	432.6	432.6	432.6
5	32	2	50	0.9	233.3	233.3	783.1
5	11	1	51	0.9	266.5	266.5	266.5
5	37	4	52	0.65	333.3	333.3	1732.6
5	4	1	53	0.1	0	0	0
5	40	2	54	0.95	982.9	982.9	982.9
5	21	3	55	0	201.5	201.5	201.5
5	24	4	56	0.6	384	1397.9	1397.9
5	3	1	57	0.4	283.3	283.3	283.3
5	19	2	58	0.65	0	0	0
5	39	3	59	0.8	0	0	0
5	16	4	60	0.1	283.1	283.1	3084.1
5	17	1	61	0.05	450.5	450.5	450.5
5	25	2	62	0	0	0	0
5	36	3	63	0.15	799.8	1733.1	1733.1
5	5	3	64	0	399.4	399.4	1815.6
5	6	1	65	0	266.7	266.7	566.5
5	15	2	66	0.15	250.1	250.1	500.1
5	34	3	67	0.05	266.5	266.5	2914.9
5	28	4	68	0.05	266.6	266.6	266.6
5	14	1	69	0	0	0	0
5	30	2	70	0.3	516.4	516.4	516.4
5	29	3	71	0.05	466.4	466.4	865.2
5	35	4	72	0.6	316.6	316.6	316.6
5	38	1	73	0	216.5	216.5	216.5
5	33	2	74	0	199.9	199.9	433.8
5	8	3	75	0.45	316.5	316.5	1182.8
5	20	4	76	0	233	233	1831.5
5	2	1	77	0	150.6	333.8	333.8
5	9	2	78	0.05	799.8	799.8	799.8
5	18	3	79	0.1	249	249	2000.5
5	7	4	80	0.6	1116.3	1116.3	1249.6
6	15	4	1	0	283.2	699.5	1115.9
6	22	1	2	0.2	266.3	266.3	266.3
6	26	2	3	0.2	415.7	1065.9	1065.9
