Participant_Num	Frame_Num	Condition	Fixation_Num	Pupil_Size	Fixation_Time	Trial	Word_pred
1	80	3	1	2.7	233	75	0.6
1	80	3	2	2.7	150.6	75	0.6
1	80	3	3	2.8	799.8	75	0.6
1	80	3	4	2.9	249	75	0.6
1	80	3	5	2.7	1116.3	75	0.6
2	1	1	1	2.8	283.2	6	0
2	1	1	2	2.8	266.3	6	0
2	1	1	3	2.8	415.7	6	0
2	1	1	4	2.7	166.2	6	0
2	1	1	5	2.8	449.9	6	0
2	2	2	1	2.9	266.6	16	0.2
2	2	2	2	2.9	483.2	16	0.2
2	2	2	3	2.8	284	16	0.2
2	2	2	4	2.8	383.9	16	0.2
2	2	2	5	2.9	233.3	16	0.2
2	3	3	1	2.9	749.7	7	0.2
2	3	3	2	2.9	666.6	7	0.2
2	3	3	3	2.8	385.3	7	0.2
2	3	3	4	2.8	NA	7	0.2
2	3	3	5	2.9	599.8	7	0.2
2	4	4	1	2.8	649.7	2	0
2	4	4	2	2.8	783	2	0
2	4	4	3	2.7	565.9	2	0
2	4	4	4	1.7	866.3	2	0
2	4	4	5	2.8	1083.3	2	0
2	5	1	1	NA	1598.7	39	0.4
2	5	1	2	NA	299.9	39	0.4
2	5	1	3	NA	249.9	39	0.4
2	5	1	4	NA	1132.8	39	0.4
2	5	1	5	NA	849.9	39	0.4
2	6	2	1	2.9	NA	1	0.95
2	6	2	2	2.9	1332.8	1	0.95
2	6	2	3	2.8	216.5	1	0.95
2	6	2	4	2.8	733.5	1	0.95
2	6	2	5	2.9	NA	1	0.95
2	7	3	1	2.8	233.7	21	0
2	7	3	2	2.8	166.9	21	0
2	7	3	3	2.7	768	21	0
2	7	3	4	2.6	399.8	21	0
2	7	3	5	2.8	1049.5	21	0
2	8	4	1	3	533.9	23	0.5
2	8	4	2	2.9	399.9	23	0.5
2	8	4	3	2.9	NA	23	0.5
2	8	4	4	2.8	200	23	0.5
2	8	4	5	2.9	449.8	23	0.5
2	9	1	1	2.7	583.1	26	0
2	9	1	2	2.6	233.2	26	0
2	9	1	3	2.7	933	26	0
2	9	1	4	2.9	366.7	26	0
2	9	1	5	2.6	333.1	26	0
2	10	2	1	2.8	233.2	32	0.7
2	10	2	2	2.7	233.2	32	0.7
2	10	2	3	2.7	615.4	32	0.7
2	10	2	4	2.6	334	32	0.7
2	10	2	5	NA	216	32	0.7
2	11	3	1	2.7	183.2	40	0.6
2	11	3	2	2.6	283.5	40	0.6
2	11	3	3	2.7	2648.2	40	0.6
2	11	3	4	2.8	NA	40	0.6
2	11	3	5	2.6	515.8	40	0.6
2	12	4	1	2.6	649.8	27	0.3
2	12	4	2	2.8	233.1	27	0.3
2	12	4	3	2.7	433.1	27	0.3
2	12	4	4	2.7	NA	27	0.3
2	12	4	5	2.8	932.8	27	0.3
2	13	1	1	2.8	584.6	20	0.15
2	13	1	2	2.9	250	20	0.15
2	13	1	3	3	416.4	20	0.15
2	13	1	4	2.9	781.5	20	0.15
2	13	1	5	NA	233	20	0.15
2	14	2	1	2.7	NA	28	0.4
2	14	2	2	2.7	251.6	28	0.4
2	14	2	3	2.7	316.5	28	0.4
2	14	2	4	2.7	932.7	28	0.4
2	14	2	5	2.7	NA	28	0.4
2	15	3	1	2.9	733.1	4	0
2	15	3	2	2.9	450.8	4	0
